FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
25.584,39.087,39.087,39.087,39.087,38.1456,0.94134,100000,1200000,0.000766754,0,
33.8996,19.9107,19.9107,39.087,29.4988,19.5625,0.348237,100000,1200000,0.000766754,0,
37.9159,20.1248,19.9107,39.087,26.3742,19.861,0.263735,100000,1200000,0.000766754,0,
40.4387,19.7926,19.7926,39.087,24.7288,19.5848,0.2078,100000,1200000,0.000766754,0,
42.0004,20.1313,19.7926,39.087,23.8093,19.9417,0.18953,100000,1200000,0.000766754,0,
43.1387,20.0399,19.7926,39.087,23.181,19.8578,0.182065,100000,1200000,0.000766754,0,
43.9924,20.032,19.7926,39.087,22.7312,19.8827,0.149359,100000,1200000,0.000766754,0,
44.6364,20.1077,19.7926,39.087,22.4032,19.9615,0.146204,100000,1200000,0.000766754,0,
45.1851,19.9546,19.7926,39.087,22.1312,19.8121,0.14254,100000,1200000,0.000766754,0,
45.4514,20.8348,19.7926,39.087,22.0015,20.7008,0.133999,100000,1200000,0.000766754,0,
45.826,20.0231,19.7926,39.087,21.8217,19.8889,0.134158,100000,1200000,0.000766754,0,
46.1388,20.0463,19.7926,39.087,21.6737,19.9268,0.119491,100000,1200000,0.000766754,0,
46.4647,19.6977,19.6977,39.087,21.5217,19.5703,0.127378,100000,1200000,0.000766754,0,
46.744,19.721,19.6977,39.087,21.3931,19.6082,0.112871,100000,1200000,0.000766754,0,
46.9364,20.0776,19.6977,39.087,21.3054,19.967,0.110586,100000,1200000,0.000766754,0,
47.1527,19.7418,19.6977,39.087,21.2077,19.6458,0.095982,100000,1200000,0.000766754,0,
47.3356,19.8146,19.6977,39.087,21.1257,19.7203,0.09435,100000,1200000,0.000766754,0,
47.4401,20.2885,19.6977,39.087,21.0792,20.1579,0.130611,100000,1200000,0.000766754,0,
47.6123,19.6303,19.6303,39.087,21.003,19.5279,0.102376,100000,1200000,0.000766754,0,
47.7502,19.79,19.6303,39.087,20.9423,19.6467,0.143353,100000,1200000,0.000766754,0,
47.8753,19.7933,19.6303,39.087,20.8876,19.6737,0.119611,100000,1200000,0.000766754,0,
48.0252,19.4529,19.4529,39.087,20.8224,19.3664,0.086512,100000,1200000,0.000766754,0,
48.1531,19.5508,19.4529,39.087,20.7671,19.4564,0.094363,100000,1200000,0.000766754,0,
48.2509,19.7562,19.4529,39.087,20.725,19.6682,0.087981,100000,1200000,0.000766754,0,
48.3948,19.1844,19.1844,39.087,20.6634,19.0927,0.091781,100000,1200000,0.000766754,0,
48.4944,19.56,19.1844,39.087,20.6209,19.4778,0.082227,100000,1200000,0.000766754,0,
48.5783,19.6595,19.1844,39.087,20.5853,19.5787,0.080847,100000,1200000,0.000766754,0,
48.5889,20.4599,19.1844,39.087,20.5808,20.3761,0.083853,100000,1200000,0.000766754,0,
48.6712,19.571,19.1844,39.087,20.546,19.4889,0.082022,100000,1200000,0.000766754,0,
48.7439,19.6277,19.1844,39.087,20.5154,19.5512,0.076562,100000,1200000,0.000766754,0,
48.8179,19.5505,19.1844,39.087,20.4843,19.4515,0.09896,100000,1200000,0.000766754,0,
48.8976,19.4164,19.1844,39.087,20.4509,19.3445,0.07188,100000,1200000,0.000766754,0,
48.9649,19.5234,19.1844,39.087,20.4228,19.4567,0.06678,100000,1200000,0.000766754,0,
49.0327,19.4621,19.1844,39.087,20.3945,19.3948,0.067285,100000,1200000,0.000766754,0,
49.0947,19.4941,19.1844,39.087,20.3688,19.4258,0.068351,100000,1200000,0.000766754,0,
49.1548,19.4713,19.1844,39.087,20.3439,19.4042,0.067085,100000,1200000,0.000766754,0,
49.1984,19.6772,19.1844,39.087,20.3259,19.6042,0.07293,100000,1200000,0.000766754,0,
49.2465,19.5712,19.1844,39.087,20.306,19.5072,0.064042,100000,1200000,0.000766754,0,
49.2932,19.5562,19.1844,39.087,20.2868,19.4901,0.0661,100000,1200000,0.000766754,0,
49.3468,19.4052,19.1844,39.087,20.2647,19.3415,0.063704,100000,1200000,0.000766754,0,
49.3859,19.6066,19.1844,39.087,20.2487,19.5399,0.066668,100000,1200000,0.000766754,0,
49.4333,19.4342,19.1844,39.087,20.2293,19.3729,0.061298,100000,1200000,0.000766754,0,
49.4752,19.4925,19.1844,39.087,20.2122,19.4288,0.063697,100000,1200000,0.000766754,0,
49.5097,19.5923,19.1844,39.087,20.1981,19.5293,0.063022,100000,1200000,0.000766754,0,
49.5456,19.5393,19.1844,39.087,20.1834,19.4807,0.058593,100000,1200000,0.000766754,0,
49.5852,19.4411,19.1844,39.087,20.1673,19.3813,0.059811,100000,1200000,0.000766754,0,
49.6244,19.4193,19.1844,39.087,20.1514,19.3571,0.062187,100000,1200000,0.000766754,0,
49.6579,19.4985,19.1844,39.087,20.1378,19.4341,0.064437,100000,1200000,0.000766754,0,
49.6906,19.4893,19.1844,39.087,20.1245,19.422,0.067337,100000,1200000,0.000766754,0,
49.7338,19.2491,19.1844,39.087,20.107,19.1733,0.075766,100000,1200000,0.000766754,0,
49.7643,19.4787,19.1844,39.087,20.0947,19.4169,0.061753,100000,1200000,0.000766754,0,
49.7937,19.4793,19.1844,39.087,20.0829,19.4186,0.060682,100000,1200000,0.000766754,0,
49.8289,19.3298,19.1844,39.087,20.0687,19.2673,0.062478,100000,1200000,0.000766754,0,
49.8663,19.2554,19.1844,39.087,20.0536,19.1942,0.06125,100000,1200000,0.000766754,0,
49.8966,19.3836,19.1844,39.087,20.0414,19.325,0.058508,100000,1200000,0.000766754,0,
49.9296,19.3006,19.1844,39.087,20.0282,19.2239,0.076664,100000,1200000,0.000766754,0,
49.9578,19.3842,19.1844,39.087,20.0169,19.3171,0.067077,100000,1200000,0.000766754,0,
49.9861,19.3597,19.1844,39.087,20.0056,19.3011,0.058607,100000,1200000,0.000766754,0,
50.0028,19.6108,19.1844,39.087,19.9989,19.5427,0.068066,100000,1200000,0.000766754,0,
50.0314,19.3134,19.1844,39.087,19.9875,19.2527,0.060673,100000,1200000,0.000766754,0,
50.0475,19.5945,19.1844,39.087,19.981,19.5335,0.060958,100000,1200000,0.000766754,0,
50.067,19.4991,19.1844,39.087,19.9732,19.4331,0.065936,100000,1200000,0.000766754,0,
50.0959,19.2472,19.1844,39.087,19.9617,19.1893,0.057913,100000,1200000,0.000766754,0,
50.1192,19.3684,19.1844,39.087,19.9524,19.2943,0.074175,100000,1200000,0.000766754,0,
50.1469,19.2345,19.1844,39.087,19.9414,19.1767,0.05786,100000,1200000,0.000766754,0,
50.1742,19.2248,19.1844,39.087,19.9305,19.1683,0.056525,100000,1200000,0.000766754,0,
50.1919,19.4603,19.1844,39.087,19.9235,19.3991,0.061179,100000,1200000,0.000766754,0,
50.22,19.1656,19.1656,39.087,19.9124,19.1058,0.059797,100000,1200000,0.000766754,0,
50.2317,19.5937,19.1656,39.087,19.9078,19.535,0.058658,100000,1200000,0.000766754,0,
50.2352,19.8097,19.1656,39.087,19.9064,19.7502,0.059463,100000,1200000,0.000766754,0,
50.2489,19.5207,19.1656,39.087,19.9009,19.4641,0.056554,100000,1200000,0.000766754,0,
50.2658,19.4193,19.1656,39.087,19.8942,19.3623,0.057076,100000,1200000,0.000766754,0,
50.2734,19.6759,19.1656,39.087,19.8912,19.6153,0.060619,100000,1200000,0.000766754,0,
50.2856,19.5338,19.1656,39.087,19.8864,19.472,0.061754,100000,1200000,0.000766754,0,
50.2982,19.5109,19.1656,39.087,19.8814,19.4505,0.060416,100000,1200000,0.000766754,0,
50.3081,19.5868,19.1656,39.087,19.8775,19.5206,0.066223,100000,1200000,0.000766754,0,
50.3145,19.6823,19.1656,39.087,19.875,19.6213,0.06097,100000,1200000,0.000766754,0,
50.3241,19.5771,19.1656,39.087,19.8712,19.4851,0.092049,100000,1200000,0.000766754,0,
50.3332,19.5901,19.1656,39.087,19.8676,19.5291,0.061011,100000,1200000,0.000766754,0,
50.3389,19.6866,19.1656,39.087,19.8654,19.6272,0.059413,100000,1200000,0.000766754,0,
50.3416,19.78,19.1656,39.087,19.8643,19.7213,0.058613,100000,1200000,0.000766754,0,
50.3534,19.4821,19.1656,39.087,19.8596,19.4248,0.057332,100000,1200000,0.000766754,0,
50.3623,19.5669,19.1656,39.087,19.8561,19.5105,0.056386,100000,1200000,0.000766754,0,
50.3644,19.7867,19.1656,39.087,19.8553,19.722,0.064664,100000,1200000,0.000766754,0,
50.3718,19.6094,19.1656,39.087,19.8524,19.5484,0.061,100000,1200000,0.000766754,0,
50.3866,19.348,19.1656,39.087,19.8465,19.2874,0.060634,100000,1200000,0.000766754,0,
50.4038,19.2589,19.1656,39.087,19.8398,19.2,0.058871,100000,1200000,0.000766754,0,
50.4182,19.3401,19.1656,39.087,19.8341,19.2794,0.060686,100000,1200000,0.000766754,0,
50.4307,19.3973,19.1656,39.087,19.8292,19.3328,0.064505,100000,1200000,0.000766754,0,
50.4418,19.4376,19.1656,39.087,19.8248,19.3668,0.070739,100000,1200000,0.000766754,0,
50.4529,19.4266,19.1656,39.087,19.8205,19.3492,0.077367,100000,1200000,0.000766754,0,
50.4595,19.582,19.1656,39.087,19.8179,19.5237,0.058357,100000,1200000,0.000766754,0,
50.478,19.1436,19.1436,39.087,19.8106,19.0821,0.061438,100000,1200000,0.000766754,0,
50.4954,19.1678,19.1436,39.087,19.8038,19.1056,0.062183,100000,1200000,0.000766754,0,
50.5084,19.3217,19.1436,39.087,19.7987,19.2601,0.061691,100000,1200000,0.000766754,0,
50.5157,19.5224,19.1436,39.087,19.7958,19.4274,0.094948,100000,1200000,0.000766754,0,
50.5279,19.3337,19.1436,39.087,19.7911,19.2682,0.065495,100000,1200000,0.000766754,0,
50.5443,19.1611,19.1436,39.087,19.7846,19.1029,0.05815,100000,1200000,0.000766754,0,
50.5591,19.2113,19.1436,39.087,19.7788,19.1483,0.062985,100000,1200000,0.000766754,0,
50.5727,19.2475,19.1436,39.087,19.7735,19.1818,0.065674,100000,1200000,0.000766754,0,
51.0789,19.4885,19.1436,39.087,19.5775,19.4286,0.05993,100000,1200000,0.000766754,0,
51.0818,19.8011,19.1436,39.087,19.5764,19.7399,0.061202,100000,1200000,0.000766754,0,
51.0974,19.5251,19.1436,39.087,19.5705,19.4622,0.062902,100000,1200000,0.000766754,0,
51.1049,19.5063,19.1436,39.087,19.5676,19.4396,0.066685,100000,1200000,0.000766754,0,
51.1207,19.5289,19.1436,39.087,19.5616,19.4685,0.06036,100000,1200000,0.000766754,0,
51.1309,19.6477,19.1436,39.087,19.5576,19.583,0.064652,100000,1200000,0.000766754,0,
51.1447,19.5032,19.1436,39.087,19.5524,19.4392,0.064,100000,1200000,0.000766754,0,
51.1573,19.628,19.1436,39.087,19.5476,19.5555,0.072568,100000,1200000,0.000766754,0,
51.1629,19.7386,19.1436,39.087,19.5454,19.6745,0.064094,100000,1200000,0.000766754,0,
51.1974,19.5208,19.1436,39.087,19.5323,19.4513,0.069495,100000,1200000,0.000766754,0,
51.2115,19.4821,19.1436,39.087,19.5268,19.4193,0.062732,100000,1200000,0.000766754,0,
51.2188,19.7712,19.1436,39.087,19.5241,19.7094,0.061855,100000,1200000,0.000766754,0,
51.2137,19.8906,19.1436,39.087,19.526,19.8219,0.068686,100000,1200000,0.000766754,0,
51.2127,19.7596,19.1436,39.087,19.5264,19.6874,0.072162,100000,1200000,0.000766754,0,
51.2272,19.5236,19.1436,39.087,19.5209,19.4598,0.063734,100000,1200000,0.000766754,0,
51.2342,19.4745,19.1436,39.087,19.5182,19.4123,0.062192,100000,1200000,0.000766754,0,
51.2432,19.4749,19.1436,39.087,19.5148,19.4084,0.06654,100000,1200000,0.000766754,0,
51.2622,19.5638,19.1436,39.087,19.5076,19.5026,0.061244,100000,1200000,0.000766754,0,
51.2674,19.4329,19.1436,39.087,19.5056,19.3682,0.064682,100000,1200000,0.000766754,0,
51.2707,19.664,19.1436,39.087,19.5043,19.5915,0.072541,100000,1200000,0.000766754,0,
51.2765,19.5722,19.1436,39.087,19.5021,19.512,0.060243,100000,1200000,0.000766754,0,
51.2714,19.6477,19.1436,39.087,19.5041,19.5839,0.063884,100000,1200000,0.000766754,0,
51.2701,19.5992,19.1436,39.087,19.5045,19.5385,0.060657,100000,1200000,0.000766754,0,
51.2696,19.7776,19.1436,39.087,19.5048,19.7166,0.061027,100000,1200000,0.000766754,0,
51.256,19.7004,19.1436,39.087,19.5099,19.6373,0.06311,100000,1200000,0.000766754,0,
51.2519,19.7162,19.1436,39.087,19.5115,19.6417,0.074526,100000,1200000,0.000766754,0,
51.2552,19.5332,19.1436,39.087,19.5102,19.4694,0.063806,100000,1200000,0.000766754,0,
51.2753,19.6961,19.1436,39.087,19.5026,19.6351,0.061015,100000,1200000,0.000766754,0,
51.2722,19.6892,19.1436,39.087,19.5038,19.6237,0.065498,100000,1200000,0.000766754,0,
51.2707,19.685,19.1436,39.087,19.5043,19.6053,0.07968,100000,1200000,0.000766754,0,
51.2731,19.4588,19.1436,39.087,19.5034,19.3968,0.062078,100000,1200000,0.000766754,0,
51.2764,19.2881,19.1436,39.087,19.5021,19.2286,0.059427,100000,1200000,0.000766754,0,
51.2832,19.2682,19.1436,39.087,19.4996,19.205,0.063228,100000,1200000,0.000766754,0,
51.2922,19.1173,19.1173,39.087,19.4961,19.0436,0.073662,100000,1200000,0.000766754,0,
51.2969,19.3171,19.1173,39.087,19.4944,19.2546,0.062508,100000,1200000,0.000766754,0,
51.3007,19.3282,19.1173,39.087,19.4929,19.2392,0.089038,100000,1200000,0.000766754,0,
51.3049,19.5146,19.1173,39.087,19.4913,19.4287,0.085852,100000,1200000,0.000766754,0,
51.3069,19.495,19.1173,39.087,19.4905,19.4316,0.06341,100000,1200000,0.000766754,0,
51.3065,19.5724,19.1173,39.087,19.4907,19.5135,0.058921,100000,1200000,0.000766754,0,
51.2977,19.7393,19.1173,39.087,19.494,19.6783,0.061023,100000,1200000,0.000766754,0,
51.3018,19.4499,19.1173,39.087,19.4925,19.3894,0.060515,100000,1200000,0.000766754,0,
51.3038,19.3587,19.1173,39.087,19.4917,19.2962,0.062464,100000,1200000,0.000766754,0,
51.3022,19.5561,19.1173,39.087,19.4924,19.4819,0.074141,100000,1200000,0.000766754,0,
51.3065,19.4278,19.1173,39.087,19.4907,19.3664,0.061414,100000,1200000,0.000766754,0,
51.3108,19.3752,19.1173,39.087,19.4891,19.317,0.058172,100000,1200000,0.000766754,0,
51.3096,19.4876,19.1173,39.087,19.4895,19.4274,0.060113,100000,1200000,0.000766754,0,
51.3088,19.4491,19.1173,39.087,19.4898,19.3862,0.062866,100000,1200000,0.000766754,0,
51.3095,19.4716,19.1173,39.087,19.4896,19.4069,0.064747,100000,1200000,0.000766754,0,
51.3086,19.5231,19.1173,39.087,19.4899,19.4667,0.056402,100000,1200000,0.000766754,0,
51.3021,19.4963,19.1173,39.087,19.4924,19.4356,0.06077,100000,1200000,0.000766754,0,
51.3005,19.5409,19.1173,39.087,19.493,19.4715,0.069378,100000,1200000,0.000766754,0,
51.299,19.5358,19.1173,39.087,19.4936,19.4647,0.071138,100000,1200000,0.000766754,0,
51.2912,19.6266,19.1173,39.087,19.4965,19.5626,0.063995,100000,1200000,0.000766754,0,
51.283,19.5646,19.1173,39.087,19.4996,19.5019,0.062736,100000,1200000,0.000766754,0,
51.2806,19.475,19.1173,39.087,19.5005,19.4135,0.061526,100000,1200000,0.000766754,0,
51.2703,19.6944,19.1173,39.087,19.5045,19.6311,0.063328,100000,1200000,0.000766754,0,
51.2695,19.4154,19.1173,39.087,19.5048,19.3528,0.062595,100000,1200000,0.000766754,0,
51.268,19.416,19.1173,39.087,19.5054,19.3496,0.066408,100000,1200000,0.000766754,0,
51.2712,19.4893,19.1173,39.087,19.5041,19.4284,0.060835,100000,1200000,0.000766754,0,
51.264,19.5855,19.1173,39.087,19.5069,19.5195,0.065995,100000,1200000,0.000766754,0,
51.2667,19.4929,19.1173,39.087,19.5058,19.4294,0.063457,100000,1200000,0.000766754,0,
51.2679,19.4529,19.1173,39.087,19.5054,19.3936,0.059276,100000,1200000,0.000766754,0,
51.2599,19.5505,19.1173,39.087,19.5084,19.4636,0.086895,100000,1200000,0.000766754,0,
51.2529,19.6376,19.1173,39.087,19.5111,19.5778,0.0598,100000,1200000,0.000766754,0,
51.2376,19.8153,19.1173,39.087,19.5169,19.7364,0.078848,100000,1200000,0.000766754,0,
51.226,19.6661,19.1173,39.087,19.5213,19.602,0.064141,100000,1200000,0.000766754,0,
51.233,19.1955,19.1173,39.087,19.5187,19.1341,0.061429,100000,1200000,0.000766754,0,
51.2332,19.1565,19.1173,39.087,19.5186,19.0996,0.056887,100000,1200000,0.000766754,0,
51.2402,19.3268,19.1173,39.087,19.5159,19.2677,0.059152,100000,1200000,0.000766754,0,
51.2483,19.504,19.1173,39.087,19.5129,19.4415,0.062502,100000,1200000,0.000766754,0,
51.2537,19.3147,19.1173,39.087,19.5108,19.2519,0.062711,100000,1200000,0.000766754,0,
51.2532,19.4369,19.1173,39.087,19.511,19.3763,0.060649,100000,1200000,0.000766754,0,
51.2644,19.2503,19.1173,39.087,19.5067,19.1904,0.059965,100000,1200000,0.000766754,0,
51.2634,19.5721,19.1173,39.087,19.5071,19.4927,0.079406,100000,1200000,0.000766754,0,
51.2582,19.7067,19.1173,39.087,19.5091,19.6446,0.062064,100000,1200000,0.000766754,0,
51.2509,19.8678,19.1173,39.087,19.5119,19.8075,0.060288,100000,1200000,0.000766754,0,
51.2464,19.8503,19.1173,39.087,19.5136,19.7899,0.060445,100000,1200000,0.000766754,0,
51.2454,19.6181,19.1173,39.087,19.514,19.5534,0.064743,100000,1200000,0.000766754,0,
51.2467,19.5381,19.1173,39.087,19.5134,19.4767,0.061363,100000,1200000,0.000766754,0,
51.2509,19.5267,19.1173,39.087,19.5118,19.4527,0.07396,100000,1200000,0.000766754,0,
51.2586,19.4861,19.1173,39.087,19.5089,19.431,0.055088,100000,1200000,0.000766754,0,
51.2557,19.5958,19.1173,39.087,19.51,19.5359,0.05992,100000,1200000,0.000766754,0,
51.2561,19.5484,19.1173,39.087,19.5099,19.4909,0.057575,100000,1200000,0.000766754,0,
51.2699,19.2649,19.1173,39.087,19.5046,19.1917,0.073159,100000,1200000,0.000766754,0,
51.2751,19.4116,19.1173,39.087,19.5027,19.3467,0.064901,100000,1200000,0.000766754,0,
51.2712,19.4956,19.1173,39.087,19.5041,19.4324,0.063255,100000,1200000,0.000766754,0,
51.2566,19.8138,19.1173,39.087,19.5097,19.7515,0.062243,100000,1200000,0.000766754,0,
51.2493,19.6192,19.1173,39.087,19.5125,19.5597,0.059485,100000,1200000,0.000766754,0,
51.2366,19.8782,19.1173,39.087,19.5173,19.8,0.078204,100000,1200000,0.000766754,0,
51.2283,19.754,19.1173,39.087,19.5205,19.6914,0.062645,100000,1200000,0.000766754,0,
51.2196,19.7575,19.1173,39.087,19.5238,19.6957,0.061796,100000,1200000,0.000766754,0,
51.2174,19.6672,19.1173,39.087,19.5246,19.6008,0.066395,100000,1200000,0.000766754,0,
51.2042,19.6451,19.1173,39.087,19.5296,19.5859,0.059166,100000,1200000,0.000766754,0,
51.1929,19.6,19.1173,39.087,19.534,19.5404,0.05959,100000,1200000,0.000766754,0,
51.1861,19.5807,19.1173,39.087,19.5365,19.4995,0.081132,100000,1200000,0.000766754,0,
51.1839,19.608,19.1173,39.087,19.5374,19.5462,0.061879,100000,1200000,0.000766754,0,
51.1712,19.8171,19.1173,39.087,19.5422,19.7505,0.066542,100000,1200000,0.000766754,0,
51.1592,19.6189,19.1173,39.087,19.5468,19.56,0.058969,100000,1200000,0.000766754,0,
51.1501,19.5599,19.1173,39.087,19.5503,19.4876,0.072224,100000,1200000,0.000766754,0,
51.1377,19.7231,19.1173,39.087,19.5551,19.6512,0.071912,100000,1200000,0.000766754,0,
51.1389,19.4402,19.1173,39.087,19.5546,19.3783,0.061904,100000,1200000,0.000766754,0,
51.1481,19.4523,19.1173,39.087,19.5511,19.3885,0.063857,100000,1200000,0.000766754,0,
51.1482,19.5184,19.1173,39.087,19.551,19.459,0.059347,100000,1200000,0.000766754,0,
51.1496,19.4537,19.1173,39.087,19.5505,19.3925,0.061158,100000,1200000,0.000766754,0,
51.152,19.4371,19.1173,39.087,19.5496,19.3769,0.060183,100000,1200000,0.000766754,0,
51.1523,19.6372,19.1173,39.087,19.5495,19.5717,0.065555,100000,1200000,0.000766754,0,
51.1505,19.573,19.1173,39.087,19.5502,19.511,0.062019,100000,1200000,0.000766754,0,
51.1522,19.5623,19.1173,39.087,19.5495,19.5004,0.061917,100000,1200000,0.000766754,0,
51.1542,19.6604,19.1173,39.087,19.5487,19.6015,0.058915,100000,1200000,0.000766754,0,
51.1514,19.63,19.1173,39.087,19.5498,19.5692,0.060823,100000,1200000,0.000766754,0,
51.149,19.571,19.1173,39.087,19.5507,19.5099,0.061069,100000,1200000,0.000766754,0,
51.1561,19.5002,19.1173,39.087,19.548,19.4375,0.062696,100000,1200000,0.000766754,0,
51.1695,19.3806,19.1173,39.087,19.5429,19.3194,0.061257,100000,1200000,0.000766754,0,
51.1758,19.5182,19.1173,39.087,19.5405,19.4479,0.070294,100000,1200000,0.000766754,0,
51.1748,19.5632,19.1173,39.087,19.5409,19.4999,0.063317,100000,1200000,0.000766754,0,
51.1747,19.4766,19.1173,39.087,19.5409,19.4167,0.059979,100000,1200000,0.000766754,0,
51.172,19.5781,19.1173,39.087,19.5419,19.5042,0.073871,100000,1200000,0.000766754,0,
51.1712,19.5936,19.1173,39.087,19.5422,19.5314,0.062158,100000,1200000,0.000766754,0,
51.1695,19.5,19.1173,39.087,19.5429,19.4404,0.059522,100000,1200000,0.000766754,0,
51.1738,19.4981,19.1173,39.087,19.5412,19.4348,0.063365,100000,1200000,0.000766754,0,
51.1806,19.3121,19.1173,39.087,19.5386,19.2534,0.058729,100000,1200000,0.000766754,0,
51.1903,19.2774,19.1173,39.087,19.5349,19.2157,0.06172,100000,1200000,0.000766754,0,
51.1923,19.5223,19.1173,39.087,19.5342,19.4531,0.069167,100000,1200000,0.000766754,0,
51.1999,19.4895,19.1173,39.087,19.5313,19.4297,0.059845,100000,1200000,0.000766754,0,
51.2122,19.2307,19.1173,39.087,19.5266,19.1721,0.058661,100000,1200000,0.000766754,0,
51.2257,19.2019,19.1173,39.087,19.5214,19.1253,0.076577,100000,1200000,0.000766754,0,
51.2238,19.6075,19.1173,39.087,19.5222,19.5408,0.066753,100000,1200000,0.000766754,0,
51.2319,19.3874,19.1173,39.087,19.5191,19.324,0.063371,100000,1200000,0.000766754,0,
51.1435,23.0598,19.1173,39.087,19.5528,22.9238,0.136023,100000,1200000,0.000766754,0,
50.8431,31.24,19.1173,39.087,19.6684,31.1214,0.118602,100000,1200000,0.000766754,0,
50.8355,19.7504,19.1173,39.087,19.6713,19.6637,0.086691,100000,1200000,0.000766754,0,
50.8285,19.5595,19.1173,39.087,19.674,19.4877,0.071846,100000,1200000,0.000766754,0,
50.8236,19.4583,19.1173,39.087,19.6759,19.3979,0.060438,100000,1200000,0.000766754,0,
50.8172,19.3652,19.1173,39.087,19.6784,19.3029,0.062298,100000,1200000,0.000766754,0,
50.8105,19.577,19.1173,39.087,19.681,19.4973,0.079617,100000,1200000,0.000766754,0,
50.8016,19.6716,19.1173,39.087,19.6844,19.607,0.064588,100000,1200000,0.000766754,0,
