FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
6.48142,147.124,141.214,165.877,154.287,147.07,0.054373,1,12000000,1.50087,0,
6.48649,145.601,141.214,165.877,154.167,145.555,0.045939,1,12000000,1.50087,0,
6.49154,145.4,141.214,165.877,154.047,145.359,0.041052,1,12000000,1.50087,0,
6.49622,145.843,141.214,165.877,153.936,145.802,0.041096,1,12000000,1.50087,0,
6.50208,143.538,141.214,165.877,153.797,143.5,0.038103,1,12000000,1.50087,0,
6.5086,142.088,141.214,165.877,153.643,142.043,0.045084,1,12000000,1.50087,0,
6.51366,144.451,141.214,165.877,153.524,143.887,0.563512,1,12000000,1.50087,0,
6.51767,146.154,141.214,165.877,153.429,146.086,0.068053,1,12000000,1.50087,0,
6.52136,146.565,141.214,165.877,153.342,146.515,0.049644,1,12000000,1.50087,0,
6.52311,150.053,141.214,165.877,153.301,150.011,0.042075,1,12000000,1.50087,0,
6.52721,145.498,141.214,165.877,153.205,145.457,0.041241,1,12000000,1.50087,0,
6.53204,143.923,141.214,165.877,153.092,143.883,0.04007,1,12000000,1.50087,0,
6.53657,144.275,141.214,165.877,152.985,144.233,0.041502,1,12000000,1.50087,0,
6.54071,144.852,141.214,165.877,152.889,144.811,0.041068,1,12000000,1.50087,0,
6.54381,146.737,141.214,165.877,152.816,146.696,0.041568,1,12000000,1.50087,0,
6.54626,147.895,141.214,165.877,152.759,147.848,0.046564,1,12000000,1.50087,0,
6.54831,148.595,141.214,165.877,152.711,148.543,0.052464,1,12000000,1.50087,0,
6.55004,149.177,141.214,165.877,152.671,149.135,0.041485,1,12000000,1.50087,0,
6.55298,146.571,141.214,165.877,152.602,146.53,0.041681,1,12000000,1.50087,0,
6.55549,147.342,141.214,165.877,152.544,147.304,0.038455,1,12000000,1.50087,0,
6.55044,163.248,141.214,165.877,152.662,163.206,0.042194,1,12000000,1.50087,0,
6.55455,143.84,141.214,165.877,152.566,143.288,0.551825,1,12000000,1.50087,0,
6.55824,144.596,141.214,165.877,152.48,144.529,0.067179,1,12000000,1.50087,0,
6.56124,145.915,141.214,165.877,152.41,145.863,0.05225,1,12000000,1.50087,0,
6.56309,148.327,141.214,165.877,152.367,148.284,0.043031,1,12000000,1.50087,0,
6.56553,146.938,141.214,165.877,152.311,146.857,0.080643,1,12000000,1.50087,0,
6.57105,139.91,139.91,165.877,152.183,139.864,0.045603,1,12000000,1.50087,0,
6.57741,137.764,137.764,165.877,152.036,137.721,0.042888,1,12000000,1.50087,0,
6.58353,138.029,137.764,165.877,151.894,137.989,0.039564,1,12000000,1.50087,0,
6.58961,137.883,137.764,165.877,151.754,137.845,0.038366,1,12000000,1.50087,0,
6.60186,137.71,137.71,165.877,151.472,137.67,0.039694,1,12000000,1.50087,0,
6.60501,137.94,137.71,165.877,151.4,137.902,0.037468,1,12000000,1.50087,0,
6.60771,137.409,137.409,165.877,151.338,137.366,0.043203,1,12000000,1.50087,0,
6.61042,138.042,137.409,165.877,151.276,137.999,0.042776,1,12000000,1.50087,0,
6.61155,141.949,137.409,165.877,151.251,141.908,0.040564,1,12000000,1.50087,0,
6.61265,142.027,137.409,165.877,151.225,141.984,0.042577,1,12000000,1.50087,0,
6.61284,142.369,137.409,165.877,151.221,142.325,0.043713,1,12000000,1.50087,0,
6.61317,141.784,137.409,165.877,151.213,141.731,0.052471,1,12000000,1.50087,0,
6.61264,142.807,137.409,165.877,151.226,142.766,0.041088,1,12000000,1.50087,0,
6.61274,141.745,137.409,165.877,151.223,141.704,0.041076,1,12000000,1.50087,0,
6.61262,141.99,137.409,165.877,151.226,141.95,0.039616,1,12000000,1.50087,0,
6.61234,143.188,137.409,165.877,151.232,143.148,0.039563,1,12000000,1.50087,0,
6.61218,142.022,137.409,165.877,151.236,141.983,0.039542,1,12000000,1.50087,0,
6.61175,143.477,137.409,165.877,151.246,143.409,0.067723,1,12000000,1.50087,0,
6.61075,144.298,137.409,165.877,151.269,144.253,0.045074,1,12000000,1.50087,0,
6.60524,153.819,137.409,165.877,151.395,153.778,0.041212,1,12000000,1.50087,0,
6.60035,152.897,137.409,165.877,151.507,152.855,0.042153,1,12000000,1.50087,0,
6.59538,152.996,137.409,165.877,151.621,152.955,0.041736,1,12000000,1.50087,0,
6.59125,152.937,137.409,165.877,151.716,152.896,0.040621,1,12000000,1.50087,0,
6.58823,153.609,137.409,165.877,151.786,153.569,0.039224,1,12000000,1.50087,0,
6.58995,153.73,137.409,165.877,151.746,153.686,0.043578,1,12000000,1.50087,0,
6.5919,154.536,137.409,165.877,151.701,154.494,0.041857,1,12000000,1.50087,0,
6.59243,156.779,137.409,165.877,151.689,156.738,0.041021,1,12000000,1.50087,0,
6.59281,157.77,137.409,165.877,151.68,157.728,0.042842,1,12000000,1.50087,0,
6.59446,153.581,137.409,165.877,151.642,153.54,0.040618,1,12000000,1.50087,0,
6.59572,154.801,137.409,165.877,151.614,154.76,0.040769,1,12000000,1.50087,0,
6.59721,154.181,137.409,165.877,151.579,154.135,0.046299,1,12000000,1.50087,0,
6.60018,153.423,137.409,165.877,151.511,153.382,0.041055,1,12000000,1.50087,0,
6.60264,153.143,137.409,165.877,151.454,153.106,0.037459,1,12000000,1.50087,0,
6.60453,153.598,137.409,165.877,151.411,153.55,0.047862,1,12000000,1.50087,0,
6.60386,161.552,137.409,165.877,151.427,161.465,0.087333,1,12000000,1.50087,0,
6.60341,160.226,137.409,165.877,151.437,160.126,0.099692,1,12000000,1.50087,0,
6.60377,159.17,137.409,165.877,151.429,159.071,0.099489,1,12000000,1.50087,0,
6.60455,157.617,137.409,165.877,151.411,157.557,0.060459,1,12000000,1.50087,0,
6.60441,158.022,137.409,165.877,151.414,157.968,0.054866,1,12000000,1.50087,0,
6.6045,157.868,137.409,165.877,151.412,157.805,0.062667,1,12000000,1.50087,0,
6.60386,159.125,137.409,165.877,151.427,159.062,0.062533,1,12000000,1.50087,0,
6.60548,155.937,137.409,165.877,151.389,155.89,0.047277,1,12000000,1.50087,0,
6.60798,153.493,137.409,165.877,151.332,153.432,0.061516,1,12000000,1.50087,0,
6.61031,152.83,137.409,165.877,151.279,152.785,0.04566,1,12000000,1.50087,0,
6.61302,153.42,137.409,165.877,151.217,153.371,0.049353,1,12000000,1.50087,0,
6.61607,153.452,137.409,165.877,151.147,153.407,0.044625,1,12000000,1.50087,0,
6.618,153.911,137.409,165.877,151.103,153.86,0.050858,1,12000000,1.50087,0,
6.61971,154.421,137.409,165.877,151.064,154.371,0.050053,1,12000000,1.50087,0,
6.6211,153.739,137.409,165.877,151.032,153.693,0.046192,1,12000000,1.50087,0,
6.62267,153.448,137.409,165.877,150.997,153.407,0.041639,1,12000000,1.50087,0,
6.62449,153.434,137.409,165.877,150.955,153.394,0.040193,1,12000000,1.50087,0,
6.62628,153.649,137.409,165.877,150.914,153.603,0.045933,1,12000000,1.50087,0,
6.62755,154.032,137.409,165.877,150.885,153.986,0.045831,1,12000000,1.50087,0,
6.62973,153.179,137.409,165.877,150.836,153.135,0.044125,1,12000000,1.50087,0,
6.63168,153.848,137.409,165.877,150.791,153.799,0.048288,1,12000000,1.50087,0,
6.63556,152.733,137.409,165.877,150.703,152.692,0.041186,1,12000000,1.50087,0,
6.63866,153.113,137.409,165.877,150.633,153.075,0.037917,1,12000000,1.50087,0,
6.64128,153.218,137.409,165.877,150.573,153.172,0.046114,1,12000000,1.50087,0,
6.64231,157.203,137.409,165.877,150.55,157.162,0.040522,1,12000000,1.50087,0,
6.64431,155.007,137.409,165.877,150.505,154.964,0.043637,1,12000000,1.50087,0,
6.64697,153.986,137.409,165.877,150.444,153.94,0.04583,1,12000000,1.50087,0,
6.6493,154.943,137.409,165.877,150.392,154.893,0.050046,1,12000000,1.50087,0,
6.65173,154.046,137.409,165.877,150.337,154.004,0.041753,1,12000000,1.50087,0,
6.65492,153.036,137.409,165.877,150.265,152.995,0.041258,1,12000000,1.50087,0,
6.65814,152.851,137.409,165.877,150.192,152.811,0.040333,1,12000000,1.50087,0,
6.66141,152.866,137.409,165.877,150.118,152.824,0.042409,1,12000000,1.50087,0,
6.66373,154.948,137.409,165.877,150.066,154.892,0.05613,1,12000000,1.50087,0,
6.66574,153.875,137.409,165.877,150.021,153.796,0.079202,1,12000000,1.50087,0,
6.6746,137.768,137.409,165.877,149.822,137.719,0.048495,1,12000000,1.50087,0,
6.68497,137.842,137.409,165.877,149.589,137.799,0.043553,1,12000000,1.50087,0,
6.6941,137.788,137.409,165.877,149.385,137.744,0.043884,1,12000000,1.50087,0,
6.70406,137.869,137.409,165.877,149.163,137.828,0.041448,1,12000000,1.50087,0,
6.7082,138.387,137.409,165.877,149.071,138.345,0.042063,1,12000000,1.50087,0,
6.71327,139.319,137.409,165.877,148.959,139.275,0.044059,1,12000000,1.50087,0,
6.71713,138.58,137.409,165.877,148.873,138.53,0.049966,1,12000000,1.50087,0,
6.72103,136.945,136.945,165.877,148.787,136.905,0.039831,1,12000000,1.50087,0,
6.72475,137.169,136.945,165.877,148.704,137.126,0.042396,1,12000000,1.50087,0,
6.72826,138.088,136.945,165.877,148.627,138.046,0.042458,1,12000000,1.50087,0,
6.7309,137.705,136.945,165.877,148.568,137.664,0.040374,1,12000000,1.50087,0,
6.7329,137.681,136.945,165.877,148.524,137.639,0.042219,1,12000000,1.50087,0,
6.73522,139.342,136.945,165.877,148.473,139.298,0.043822,1,12000000,1.50087,0,
6.73187,153.528,136.945,165.877,148.547,153.483,0.04461,1,12000000,1.50087,0,
6.73388,142.148,136.945,165.877,148.503,142.109,0.039175,1,12000000,1.50087,0,
6.73729,142.528,136.945,165.877,148.428,142.486,0.041644,1,12000000,1.50087,0,
6.73865,142.506,136.945,165.877,148.398,142.466,0.039793,1,12000000,1.50087,0,
6.73944,142.184,136.945,165.877,148.38,142.141,0.042189,1,12000000,1.50087,0,
6.73841,146.55,136.945,165.877,148.403,146.51,0.039994,1,12000000,1.50087,0,
6.73971,141.979,136.945,165.877,148.374,141.94,0.039286,1,12000000,1.50087,0,
6.74102,143.867,136.945,165.877,148.346,143.787,0.079356,1,12000000,1.50087,0,
6.74357,142.278,136.945,165.877,148.289,142.227,0.050917,1,12000000,1.50087,0,
6.74518,145.044,136.945,165.877,148.254,144.992,0.052216,1,12000000,1.50087,0,
6.74149,157.301,136.945,165.877,148.335,157.212,0.088619,1,12000000,1.50087,0,
6.73766,155.015,136.945,165.877,148.42,154.944,0.071038,1,12000000,1.50087,0,
6.73463,154.004,136.945,165.877,148.486,153.946,0.057592,1,12000000,1.50087,0,
6.73943,152.683,136.945,165.877,148.381,152.641,0.041639,1,12000000,1.50087,0,
6.73492,153.762,136.945,165.877,148.48,153.72,0.042409,1,12000000,1.50087,0,
6.73073,153.854,136.945,165.877,148.572,153.799,0.054824,1,12000000,1.50087,0,
6.72735,153.377,136.945,165.877,148.647,153.333,0.043935,1,12000000,1.50087,0,
6.72506,153.391,136.945,165.877,148.698,153.346,0.044945,1,12000000,1.50087,0,
6.72217,153.323,136.945,165.877,148.761,153.284,0.038407,1,12000000,1.50087,0,
6.7159,153.811,136.945,165.877,148.9,153.768,0.042725,1,12000000,1.50087,0,
6.70869,153.746,136.945,165.877,149.06,153.699,0.047047,1,12000000,1.50087,0,
6.7013,154.48,136.945,165.877,149.225,154.438,0.041652,1,12000000,1.50087,0,
