FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
280.256,3.56816,3.56816,3.56816,3.56816,3.26448,0.303681,1,120000,1.50087,0,
387.514,1.59294,1.59294,3.56816,2.58055,1.55815,0.034788,1,120000,1.50087,0,
442.821,1.61364,1.59294,3.56816,2.25825,1.57625,0.037398,1,120000,1.50087,0,
485.854,1.45818,1.45818,3.56816,2.05823,1.43426,0.023912,1,120000,1.50087,0,
516.884,1.44042,1.44042,3.56816,1.93467,1.4222,0.018214,1,120000,1.50087,0,
534.986,1.54191,1.44042,3.56816,1.86921,1.51492,0.026992,1,120000,1.50087,0,
552.015,1.46557,1.44042,3.56816,1.81155,1.44504,0.020529,1,120000,1.50087,0,
565.514,1.46559,1.44042,3.56816,1.7683,1.44779,0.0178,1,120000,1.50087,0,
575.151,1.50164,1.44042,3.56816,1.73867,1.47673,0.024908,1,120000,1.50087,0,
581.325,1.55403,1.44042,3.56816,1.72021,1.52546,0.028567,1,120000,1.50087,0,
588.412,1.49231,1.44042,3.56816,1.69949,1.469,0.023313,1,120000,1.50087,0,
515.343,4.59105,1.44042,4.59105,1.94045,1.76073,2.83033,1,120000,1.50087,0,
503.077,2.55551,1.44042,4.59105,1.98777,2.49571,0.059796,1,120000,1.50087,0,
493.911,2.50425,1.44042,4.59105,2.02466,2.46021,0.044033,1,120000,1.50087,0,
492.538,2.10933,1.44042,4.59105,2.0303,2.06783,0.041491,1,120000,1.50087,0,
500.743,1.49796,1.44042,4.59105,1.99703,1.47317,0.024796,1,120000,1.50087,0,
508.135,1.50316,1.44042,4.59105,1.96798,1.48016,0.023001,1,120000,1.50087,0,
514.528,1.52783,1.44042,4.59105,1.94353,1.50455,0.023281,1,120000,1.50087,0,
520.934,1.48943,1.44042,4.59105,1.91963,1.47058,0.018849,1,120000,1.50087,0,
526.801,1.49207,1.44042,4.59105,1.89825,1.47439,0.017674,1,120000,1.50087,0,
532.098,1.50144,1.44042,4.59105,1.87935,1.48382,0.01762,1,120000,1.50087,0,
537.133,1.49179,1.44042,4.59105,1.86174,1.47418,0.017609,1,120000,1.50087,0,
541.33,1.52975,1.44042,4.59105,1.8473,1.49293,0.036818,1,120000,1.50087,0,
545.991,1.46882,1.44042,4.59105,1.83153,1.44455,0.024269,1,120000,1.50087,0,
549.309,1.55495,1.44042,4.59105,1.82047,1.52714,0.027808,1,120000,1.50087,0,
552.621,1.53679,1.44042,4.59105,1.80956,1.50991,0.02688,1,120000,1.50087,0,
556.403,1.47747,1.44042,4.59105,1.79726,1.45647,0.021008,1,120000,1.50087,0,
559.937,1.47961,1.44042,4.59105,1.78591,1.46058,0.01903,1,120000,1.50087,0,
561.433,1.64796,1.44042,4.59105,1.78116,1.61008,0.037889,1,120000,1.50087,0,
561.523,1.77257,1.44042,4.59105,1.78087,1.72686,0.045713,1,120000,1.50087,0,
564.484,1.49129,1.44042,4.59105,1.77153,1.46859,0.022703,1,120000,1.50087,0,
567.21,1.49905,1.44042,4.59105,1.76302,1.47358,0.025475,1,120000,1.50087,0,
565.245,1.96523,1.44042,4.59105,1.76914,1.87469,0.09054,1,120000,1.50087,0,
567.44,1.53649,1.44042,4.59105,1.7623,1.50375,0.032741,1,120000,1.50087,0,
570.2,1.46377,1.44042,4.59105,1.75377,1.44208,0.021698,1,120000,1.50087,0,
572.786,1.46877,1.44042,4.59105,1.74585,1.44918,0.019585,1,120000,1.50087,0,
574.737,1.52657,1.44042,4.59105,1.73993,1.49769,0.028879,1,120000,1.50087,0,
576.546,1.53237,1.44042,4.59105,1.73447,1.50446,0.027906,1,120000,1.50087,0,
579.017,1.4458,1.44042,4.59105,1.72706,1.42546,0.020345,1,120000,1.50087,0,
580.675,1.52988,1.44042,4.59105,1.72213,1.49914,0.030733,1,120000,1.50087,0,
573.864,2.56008,1.44042,4.59105,1.74257,2.50094,0.059135,1,120000,1.50087,0,
572.478,1.91984,1.44042,4.59105,1.74679,1.87827,0.04157,1,120000,1.50087,0,
574.145,1.52872,1.44042,4.59105,1.74172,1.50379,0.024934,1,120000,1.50087,0,
575.842,1.51584,1.44042,4.59105,1.73659,1.49654,0.019298,1,120000,1.50087,0,
577.411,1.52427,1.44042,4.59105,1.73187,1.50573,0.018544,1,120000,1.50087,0,
578.976,1.51648,1.44042,4.59105,1.72719,1.49652,0.019967,1,120000,1.50087,0,
580.528,1.51025,1.44042,4.59105,1.72257,1.48951,0.020732,1,120000,1.50087,0,
582.18,1.48788,1.44042,4.59105,1.71768,1.47075,0.017127,1,120000,1.50087,0,
583.64,1.50715,1.44042,4.59105,1.71339,1.48531,0.021831,1,120000,1.50087,0,
585.099,1.49976,1.44042,4.59105,1.70911,1.48059,0.019177,1,120000,1.50087,0,
586.548,1.49384,1.44042,4.59105,1.70489,1.47501,0.018829,1,120000,1.50087,0,
587.851,1.50837,1.44042,4.59105,1.70111,1.49053,0.017843,1,120000,1.50087,0,
