FPS,FrameTime(ms),MinFrame(ms),MaxFrame(ms),AvgFrame(ms),CPUTime(ms),GPUWait(ms),DrawCalls,Triangles,VRAM(MB),Upload(KB),
459.109,2.17813,2.17813,2.17813,2.17813,1.60262,0.575508,1,12000,1.50087,0,
840.489,0.201436,0.201436,2.17813,1.18978,0.16174,0.039696,1,12000,1.50087,0,
1129.63,0.27616,0.201436,2.17813,0.885242,0.152905,0.123255,1,12000,1.50087,0,
1414.15,0.172835,0.172835,2.17813,0.70714,0.150118,0.022717,1,12000,1.50087,0,
1662.52,0.178914,0.172835,2.17813,0.601495,0.155021,0.023893,1,12000,1.50087,0,
1884.89,0.175736,0.172835,2.17813,0.530535,0.155647,0.020089,1,12000,1.50087,0,
2079.45,0.183064,0.172835,2.17813,0.480896,0.167867,0.015197,1,12000,1.50087,0,
2258.45,0.175975,0.172835,2.17813,0.442781,0.156661,0.019314,1,12000,1.50087,0,
2418.45,0.179144,0.172835,2.17813,0.413488,0.162794,0.01635,1,12000,1.50087,0,
2564.6,0.177843,0.172835,2.17813,0.389924,0.162443,0.0154,1,12000,1.50087,0,
2701,0.173332,0.172835,2.17813,0.370234,0.15688,0.016452,1,12000,1.50087,0,
2451.55,0.822289,0.172835,2.17813,0.407905,0.154377,0.667912,1,12000,1.50087,0,
2548.1,0.206985,0.172835,2.17813,0.392449,0.177529,0.029456,1,12000,1.50087,0,
2654.42,0.172373,0.172373,2.17813,0.37673,0.15615,0.016223,1,12000,1.50087,0,
2756.89,0.166694,0.166694,2.17813,0.362727,0.150296,0.016398,1,12000,1.50087,0,
2850.94,0.171281,0.166694,2.17813,0.350762,0.155737,0.015544,1,12000,1.50087,0,
2941.32,0.167536,0.166694,2.17813,0.339984,0.152532,0.015004,1,12000,1.50087,0,
3026.12,0.168488,0.166694,2.17813,0.330456,0.153033,0.015455,1,12000,1.50087,0,
3104.98,0.170984,0.166694,2.17813,0.322063,0.152152,0.018832,1,12000,1.50087,0,
3181.95,0.166249,0.166249,2.17813,0.314272,0.150663,0.015586,1,12000,1.50087,0,
3255.25,0.165666,0.165666,2.17813,0.307196,0.149968,0.015698,1,12000,1.50087,0,
3321.68,0.172047,0.165666,2.17813,0.301053,0.156814,0.015233,1,12000,1.50087,0,
3385.83,0.169846,0.165666,2.17813,0.295348,0.153314,0.016532,1,12000,1.50087,0,
3447.98,0.167594,0.165666,2.17813,0.290025,0.15109,0.016504,1,12000,1.50087,0,
3506.65,0.168708,0.165666,2.17813,0.285172,0.15226,0.016448,1,12000,1.50087,0,
3562.75,0.16843,0.165666,2.17813,0.280682,0.151756,0.016674,1,12000,1.50087,0,
3615.93,0.169215,0.165666,2.17813,0.276554,0.153052,0.016163,1,12000,1.50087,0,
3663.54,0.175936,0.165666,2.17813,0.27296,0.158854,0.017082,1,12000,1.50087,0,
3711.71,0.170214,0.165666,2.17813,0.269417,0.15376,0.016454,1,12000,1.50087,0,
3757.67,0.170562,0.165666,2.17813,0.266122,0.153322,0.01724,1,12000,1.50087,0,
3802.59,0.168665,0.165666,2.17813,0.262978,0.151816,0.016849,1,12000,1.50087,0,
3845.32,0.169464,0.165666,2.17813,0.260056,0.152946,0.016518,1,12000,1.50087,0,
3887.18,0.167656,0.165666,2.17813,0.257256,0.152028,0.015628,1,12000,1.50087,0,
3927.46,0.167548,0.165666,2.17813,0.254618,0.151238,0.01631,1,12000,1.50087,0,
3965.09,0.170029,0.165666,2.17813,0.252201,0.154118,0.015911,1,12000,1.50087,0,
4004.51,0.162846,0.162846,2.17813,0.249719,0.148026,0.01482,1,12000,1.50087,0,
4040.79,0.166751,0.162846,2.17813,0.247476,0.146455,0.020296,1,12000,1.50087,0,
4075.2,0.168061,0.162846,2.17813,0.245386,0.152464,0.015597,1,12000,1.50087,0,
4106.24,0.173057,0.162846,2.17813,0.243532,0.15196,0.021097,1,12000,1.50087,0,
4138.62,0.167307,0.162846,2.17813,0.241626,0.151985,0.015322,1,12000,1.50087,0,
4170.6,0.165665,0.162846,2.17813,0.239774,0.151228,0.014437,1,12000,1.50087,0,
4203.27,0.161506,0.161506,2.17813,0.23791,0.146826,0.01468,1,12000,1.50087,0,
4235.07,0.161092,0.161092,2.17813,0.236124,0.1464,0.014692,1,12000,1.50087,0,
4265.08,0.163034,0.161092,2.17813,0.234462,0.148445,0.014589,1,12000,1.50087,0,
4293.13,0.165509,0.161092,2.17813,0.23293,0.150439,0.01507,1,12000,1.50087,0,
4322.22,0.160819,0.160819,2.17813,0.231362,0.145672,0.015147,1,12000,1.50087,0,
4349.96,0.16202,0.160819,2.17813,0.229887,0.147208,0.014812,1,12000,1.50087,0,
4376.88,0.162022,0.160819,2.17813,0.228473,0.146981,0.015041,1,12000,1.50087,0,
4402.46,0.163429,0.160819,2.17813,0.227146,0.148793,0.014636,1,12000,1.50087,0,
4427.36,0.163257,0.160819,2.17813,0.225868,0.148368,0.014889,1,12000,1.50087,0,
4449.19,0.169367,0.160819,2.17813,0.22476,0.153795,0.015572,1,12000,1.50087,0,
4470.44,0.169195,0.160819,2.17813,0.223692,0.152842,0.016353,1,12000,1.50087,0,
4490.81,0.169914,0.160819,2.17813,0.222677,0.153415,0.016499,1,12000,1.50087,0,
4510.9,0.169126,0.160819,2.17813,0.221685,0.153692,0.015434,1,12000,1.50087,0,
4530.12,0.169952,0.160819,2.17813,0.220745,0.153087,0.016865,1,12000,1.50087,0,
4549.61,0.167792,0.160819,2.17813,0.219799,0.152264,0.015528,1,12000,1.50087,0,
4565.06,0.177392,0.160819,2.17813,0.219055,0.161143,0.016249,1,12000,1.50087,0,
4583.67,0.167465,0.160819,2.17813,0.218166,0.151752,0.015713,1,12000,1.50087,0,
4603.6,0.162459,0.160819,2.17813,0.217221,0.147832,0.014627,1,12000,1.50087,0,
4617.51,0.177942,0.160819,2.17813,0.216567,0.162824,0.015118,1,12000,1.50087,0,
